numero,fecha,vendedor,numero_cliente,subtotal,iva,total,descripcion
1,2023-01-09,Arsenio Alcolea-Valentín,22,9697.23,1163.6676,10860.8976,Answer involve scene great. Financial alone increase everything candidate people first. Lose stock move not camera remember fly.
2,2023-01-11,Paz Estrada Blazquez,86,14493.24,1739.1888,16232.4288,Inside else thus seat. Area out least college. Score center end financial media lot lead determine. Both just suffer space enjoy.
3,2023-01-13,Virginia Tormo Casado,87,3077.21,369.2652,3446.4752,"Likely think know gun just woman. Lot they act. Great white myself treatment.
Interview hand catch himself simply they. Which culture also agree class. Party ago meeting debate."
4,2023-01-18,Ignacia Galiano Ripoll,98,16047.13,1925.6555999999998,17972.7856,"Across a happen even appear. Account notice road argue.
Government value our. History explain concern activity bag article hope. Seem part past.
Size control know issue within represent behind dark."
5,2023-01-04,Isa Cordero Asensio,51,15942.66,1913.1191999999999,17855.7792,"Vote thus entire interest myself. Couple hold political claim. Certainly far exactly blue. Peace her score station hundred.
Yourself while such peace inside official. Hold born on public civil."
6,2023-01-08,Luna Narcisa Cuenca Ballester,11,6172.95,740.7539999999999,6913.704,School individual and one find project. Owner health relationship ball mouth chance cold. Pick friend wait conference.
7,2023-01-09,Carmina Anglada-Gutierrez,39,18125.8,2175.096,20300.896,Great without customer religious father book. Piece myself personal ask produce.
8,2023-01-11,Godofredo Mateos Cal,80,18108.3,2172.9959999999996,20281.296,Character I think sign politics feel crime. Process street in thank yet us his. However behavior prove.
9,2023-01-14,Alejo Solera Valencia,58,16963.65,2035.6380000000001,18999.288,Church her offer recent hand ball summer yes. Room television lose word name according deep.
10,2023-01-15,Sabas de Barroso,47,9697.49,1163.6988,10861.1888,"Land land particularly window skin behavior send.
Production police price try worker trip most. Whether great ability fast imagine. Wall possible who possible. Yard anyone go particular agent."
11,2023-01-15,Toribio del Becerra,17,11763.86,1411.6632,13175.5232,Research work compare cultural than. Thus season pattern. Staff big white against wall. Place a near.
12,2023-01-04,Álvaro Barranco Pino,26,12742.37,1529.0844,14271.4544,"Since so carry force look. Think piece herself within site build.
Maybe happen rock treatment so. In black oil last tell. Feel service evening after great."
13,2023-01-10,Juan Pablo Cortes Portillo,69,12330.7,1479.684,13810.384,Nor maybe adult Congress conference science never. White city listen. Question performance leave ability Mr.
14,2023-01-01,Pastora Morillo Valenzuela,48,16623.23,1994.7875999999999,18618.0176,"Social case no many thing focus. Material figure page treat treatment. East final policy car center.
City identify throughout skin. Avoid hard manager soldier support else. Show safe court."
15,2023-01-07,Celestino Teo Perez Alfaro,9,9670.61,1160.4732000000001,10831.083200000001,Day join fight personal benefit. Risk order present nature develop work per because.
16,2023-01-06,Cruz Gimenez Cal,91,14916.64,1789.9968,16706.6368,"Bit although name activity drive. Picture provide impact news per western. Really hard majority little. Board some civil evidence.
Account fight great truth. Include check strategy sing many lot."
17,2023-01-08,Lucio Catalá Piñol,56,4289.73,514.7675999999999,4804.4976,Network throw culture head second anyone. Consider voice she without air. Actually include speak protect PM.
18,2023-01-13,Josep Guillén Cornejo,5,5737.53,688.5035999999999,6426.0336,"Hundred play meet crime politics activity. Middle player specific team.
Fine place name. Up born individual interesting every. In entire board raise spring lawyer join."
19,2023-01-10,Ainoa Gimenez Puente,74,17991.44,2158.9727999999996,20150.4128,"Bank enough thus course why eye consumer thought.
Laugh quite fall ask piece break style. Option daughter beyond people beyond black. Coach away wife above race eye."
20,2023-01-01,Juan Manuel Menendez Vicens,86,13260.3,1591.2359999999999,14851.536,Under key stay plant. Article while sing attention. Similar speech board doctor member contain lot. Should high unit box candidate.
21,2023-01-08,Berta Carretero,95,9009.24,1081.1088,10090.3488,"Development resource notice thus. Amount heart condition nice environment.
Decade decade everyone hand find late recognize. Law statement conference window send."
22,2023-01-13,Pepito Ramirez-Villar,37,9480.88,1137.7055999999998,10618.585599999999,"Moment wide per.
Group behavior mention red remain. Key cell say.
Little movie fight daughter. Nice art food."
23,2023-01-09,Dan Exposito Seguí,90,7907.44,948.8928,8856.3328,"Page stand who million account. Walk study face. Executive glass cost account far.
Ever trouble detail attention well free. Go design some himself east law exist."
24,2023-01-11,Candelas Badía,31,10494.08,1259.2895999999998,11753.3696,Year significant enjoy detail whole task. Television firm act seek provide after past rule. Wear could between sit appear.
25,2023-01-14,José Luis Gallardo Corominas,9,8867.69,1064.1228,9931.8128,"Or find this score remain. Serious feel state gas.
However factor consider heart knowledge hotel."
26,2023-01-18,Rafa de Alsina,21,11288.69,1354.6428,12643.3328,"According adult he what view collection respond. Mrs though area bar position.
Again discuss than some. Wish lay modern body final. Group far cause could."
27,2023-01-11,Fausto Llorente Casado,12,12433.91,1492.0692,13925.9792,Bad person design television suggest.
28,2023-01-08,Lino Mendizábal Cordero,59,10313.13,1237.5756,11550.7056,"Sing thing firm whatever from read page major. Ability analysis single play glass sound up cover.
Like pass seek some partner. Just woman election read through. Realize pretty probably prove maybe."
29,2023-01-03,Gerardo Roldán Ureña,31,13600.53,1632.0636,15232.5936,Fight common ability by indeed. Too detail radio draw expect use. Major avoid company hotel still sort.
30,2023-01-07,Jeremías de Salamanca,62,16160.81,1939.2972,18100.1072,Traditional just best section far author population. Staff east race as smile. Often space enough put live relate mention huge.
31,2023-01-13,Óscar Espinosa Pastor,65,13721.22,1646.5464,15367.766399999999,"Suffer he anyone usually other accept fear discover. Recently accept region some better.
Research she identify air turn left. Whom structure cup beautiful soldier. Lay our education him cost."
32,2023-01-02,Maribel del Águila,54,18040.95,2164.914,20205.864,Very number adult late impact near. Coach together last bit kind pay director trade.
33,2023-01-16,Visitación Nebot Cortés,2,16035.24,1924.2287999999999,17959.4688,"Card worker some couple. Less who we surface music. Road Mrs off.
Hot future great court.
Just trade consider.
Particularly skin sit result task. Side room three possible point method different."
34,2023-01-03,Leocadio Casado,14,6719.51,806.3412,7525.8512,"Rich action sort responsibility. Ever father value season too young everyone.
Soldier parent land notice second until minute. Social soon fall manager. Lose up fast hair."
35,2023-01-18,Mateo Muñoz Vélez,30,7338.41,880.6092,8219.0192,Face law though another part simple.
36,2023-01-14,Marcia Pacheco Quintana,23,11242.55,1349.1059999999998,12591.655999999999,"Control current stay per spring. Though second challenge rate response.
Item office nor increase. Water PM teach election pull."
37,2023-01-15,Dimas Egea,71,18249.28,2189.9136,20439.1936,"Step threat house never up history. Turn only difficult money radio system explain.
Less recognize hand item. Put professional better pull fish upon firm."
38,2023-01-07,Jose Luis Bejarano,41,11768.74,1412.2487999999998,13180.9888,"Away suggest deal across. Score southern water small. Current stock type commercial budget staff.
Maybe near partner economy half prevent himself. Defense traditional enough what serve stay."
39,2023-01-02,Iris del Arrieta,85,11656.41,1398.7692,13055.1792,Available arm public factor benefit give. Thank usually organization eight. Peace benefit by southern may people. Stock owner whom water image.
40,2023-01-16,Elisa Vilar Solano,70,7064.57,847.7484,7912.3184,Need radio heart hear. Green free maybe black whom. Series my after first. Apply later can how however.
41,2023-01-08,Edmundo Molins Aguilar,37,17101.88,2052.2256,19154.105600000003,Main impact Mr like manager rule hot important. Worry pull brother subject civil experience.
42,2023-01-03,Úrsula Ariza Gilabert,40,5949.34,713.9208,6663.2608,"Draw operation often hope play wrong start.
Statement key sense beat. Student north walk response."
43,2023-01-06,Angelino Mateo Uribe,79,19764.85,2371.7819999999997,22136.631999999998,"Firm either other still ask weight property. Best half give actually for partner black.
Part will return from many fine."
44,2023-01-13,Heriberto Niño-Larrañaga,70,18871.16,2264.5391999999997,21135.6992,"Plan stuff well yeah expect between audience. However stay line keep me.
Night attorney read fight culture baby."
45,2023-01-08,Eligio Roldan Guijarro,97,17933.39,2152.0067999999997,20085.3968,"Image catch agency anything. Above tax care. Or once life detail choose.
Miss off play business service. Over history claim."
46,2023-01-15,Virginia Costa Guijarro,72,13887.67,1666.5203999999999,15554.1904,"Follow eight rather who floor western.
Generation good business serious one. Pm window weight past.
How behind market site capital believe stand. Draw themselves forward sound money option."
47,2023-01-13,Silvestre Abella Calzada,39,7570.76,908.4912,8479.2512,It discover evening let leg itself. Military trial letter song. Perhaps artist team tough.
48,2023-01-03,Constanza Mireia Paz Andrés,87,16947.51,2033.7011999999997,18981.211199999998,"Life machine ago bank. Other majority each data. Enjoy church growth.
Type conference apply cover wear development. Open church show last fill teach."
49,2023-01-02,Herminia Segura-Requena,40,11314.55,1357.7459999999999,12672.295999999998,"Account will staff first. Bill wait them task structure arm name.
Morning I fact example again buy culture. Identify Congress far."
50,2023-01-02,Clementina Boix-Ríos,33,17576.85,2109.2219999999998,19686.072,"Partner break west summer add discover benefit. Able alone bed professional she.
Difficult hit choice person force court test. Church bar source alone impact look. Agency though stand seven detail."
51,2023-01-08,Ligia Gracia Garcia,25,19133.97,2296.0764,21430.0464,"Scientist should wide might.
Shake help spend whole give benefit. Social truth brother people standard. Him rest notice production program. Since like grow into wonder."
52,2023-01-11,Eutropio Benavides Morcillo,35,5065.46,607.8552,5673.3152,"Bed performance speech nothing memory. Wall that parent building surface upon. Force painting type.
Image own region form book truth church. Television data use as now idea they."
53,2023-01-10,Concha Iglesia Arnal,49,7852.14,942.2568,8794.3968,"Without pattern bar issue century. Factor as hand owner dog prevent. These visit sell join car light.
Write attention show trouble."
54,2023-01-05,Remigio Prado Azorin,29,3122.82,374.7384,3497.5584000000003,"Must local rest see thank. Ago former bar ever education spring service.
Admit forward time. Wrong example question fill."
55,2023-01-13,Isabela del Plana,76,4034.28,484.1136,4518.3936,Physical might light expect material. Take point bring great direction standard possible. Girl interest son operation.
56,2023-01-11,César Piña-Ferrándiz,78,14737.87,1768.5444,16506.4144,"Defense heart sense film interest. Ball step chance role tend manage avoid.
Black either sister indicate scientist wish."
57,2023-01-07,Narciso Abellán,82,4302.58,516.3095999999999,4818.8895999999995,"Car only information property team establish. Field similar build smile hard world.
Race themselves phone rich name approach thousand. Rule treat thousand."
58,2023-01-06,Florinda Giner Carrera,68,4092.95,491.15399999999994,4584.103999999999,"Key matter finally rest civil understand job. Expect yet might left keep with.
Current huge win night. Black soldier maybe decision able involve later."
